2018,Sun.,20171001,10/1/2017,5:05 MT,Lethbridge,,,Lethbridge,1,@,(1) Denver,denver,/team/denver/mens-hockey/,(1) Denver,3,,,EX,Game Summary,
2018,Sun.,20171001,10/1/2017,3:07 ET,Laurentian,,,Laurentian,2,@,Lake Superior,lake-superior,/team/lake-superior/mens-hockey/,Lake Superior,3,,,EX,Game Summary,
2018,Sun.,20171001,10/1/2017,4:00 ET,Acadia,,,Acadia,1,@,Maine,maine,/team/maine/mens-hockey/,Maine,3,,,EX,Game Summary,
2018,Sun.,20171001,10/1/2017,,Regina,,,Regina,0,@,(18) Minnesota State,minnesota-state,/team/minnesota-state/mens-hockey/,(18) Minnesota State,8,,,EX,Game Summary,
2018,Sun.,20171001,10/1/2017,5:05 ET,US Under-18 Team,,,US Under-18 Team,3,@,(8) Notre Dame,notre-dame,/team/notre-dame/mens-hockey/,(8) Notre Dame,4,,,EX,Game Summary,
2018,Sun.,20171001,10/1/2017,3:00 ET,Ottawa,,,Ottawa,4,@,(10) Penn State,penn-state,/team/penn-state/mens-hockey/,(10) Penn State,3,OT,,EX,Game Summary,
2018,Sun.,20171001,10/1/2017,4:00 ET,St. Mary's (NS),,,St. Mary's (NS),2,@,(14) Quinnipiac,quinnipiac,/team/quinnipiac/mens-hockey/,(14) Quinnipiac,3,,,EX,Game Summary,
2018,Sun.,20171001,10/1/2017,2:05 ET,Carleton,,,Carleton,5,@,Sacred Heart,sacred-heart,/team/sacred-heart/mens-hockey/,Sacred Heart,2,,,EX,Game Summary,
2018,Sun.,20171001,10/1/2017,5:00 CT,Alberta,,,Alberta,2,@,(3) Minnesota,minnesota,/team/minnesota/mens-hockey/,(3) Minnesota,6,,,EX,Game Summary,
2018,Sun.,20171001,10/1/2017,4:00 ET,St. Francis Xavier,,,St. Francis Xavier,3,@,New Hampshire,new-hampshire,/team/new-hampshire/mens-hockey/,New Hampshire,3,OT,,EX,Game Summary,
2018,Sun.,20171001,10/1/2017,4:00 ET,Waterloo,,,Waterloo,1,@,Vermont,vermont,/team/vermont/mens-hockey/,Vermont,6,,,EX,Game Summary,
2018,Mon.,20171002,10/2/2017,6:05 MT,Lethbridge,,,Lethbridge,0,@,(17) Air Force,air-force,/team/air-force/mens-hockey/,(17) Air Force,3,,,EX,Game Summary,
2018,Fri.,20171006,10/6/2017,7:05 ET,Army West Point,army,/team/army/mens-hockey/,Army West Point,5,@,American International,american-international,/team/american-international/mens-hockey/,American International,1,,,AH,Game Summary,
2018,Fri.,20171006,10/6/2017,7:05 ET,Robert Morris,robert-morris,/team/robert-morris/mens-hockey/,Robert Morris,3,@,Niagara,niagara,/team/niagara/mens-hockey/,Niagara,4,OT,,AH,Game Summary,
2018,Fri.,20171006,10/6/2017,7:07 CT,(19) Ohio State,ohio-state,/team/ohio-state/mens-hockey/,(19) Ohio State,3,@,(12) Wisconsin,wisconsin,/team/wisconsin/mens-hockey/,(12) Wisconsin,2,,,B10,Game Summary,FSW
2018,Fri.,20171006,10/6/2017,7:30 ET,Connecticut,connecticut,/team/connecticut/mens-hockey/,Connecticut,3,@,Maine,maine,/team/maine/mens-hockey/,Maine,4,OT,,HE,Game Summary,
2018,Fri.,20171006,10/6/2017,7:15 ET,New Hampshire,new-hampshire,/team/new-hampshire/mens-hockey/,New Hampshire,4,@,(5) UMass Lowell,umass-lowell,/team/umass-lowell/mens-hockey/,(5) UMass Lowell,3,,,HE,Game Summary,
2018,Fri.,20171006,10/6/2017,7:05 MT,Massachusetts,massachusetts,/team/massachusetts/mens-hockey/,Massachusetts,3,@,Arizona State,arizona-state,/team/arizona-state/mens-hockey/,Arizona State,5,,,NC,Game Summary,
2018,Fri.,20171006,10/6/2017,7:00 ET,(14) Quinnipiac,quinnipiac,/team/quinnipiac/mens-hockey/,(14) Quinnipiac,1,@,(13) Boston College,boston-college,/team/boston-college/mens-hockey/,(13) Boston College,1,OT,,NC,Game Summary,
2018,Fri.,20171006,10/6/2017,7:00 ET,(10) Penn State,penn-state,/team/penn-state/mens-hockey/,(10) Penn State,1,@,Clarkson,clarkson,/team/clarkson/mens-hockey/,Clarkson,2,,,NC,Game Summary,
2018,Fri.,20171006,10/6/2017,7:30 ET,Merrimack,merrimack,/team/merrimack/mens-hockey/,Merrimack,1,@,Colgate,colgate,/team/colgate/mens-hockey/,Colgate,2,,,NC,Game Summary,
2018,Fri.,20171006,10/6/2017,7:37 ET,Northern Michigan,northern-michigan,/team/northern-michigan/mens-hockey/,Northern Michigan,3,@,Lake Superior,lake-superior,/team/lake-superior/mens-hockey/,Lake Superior,5,,,NC,Game Summary,
2018,Fri.,20171006,10/6/2017,7:35 ET,(11) Providence,providence,/team/providence/mens-hockey/,(11) Providence,3,@,Miami,miami,/team/miami/mens-hockey/,Miami,1,,,NC,Game Summary,
2018,Fri.,20171006,10/6/2017,7:35 ET,Alabama Huntsville,alabama-huntsville,/team/alabama-huntsville/mens-hockey/,Alabama Huntsville,3,@,(8) Notre Dame,notre-dame,/team/notre-dame/mens-hockey/,(8) Notre Dame,5,,,NC,Game Summary,NBCChi+
2018,Fri.,20171006,10/6/2017,7:00 ET,Sacred Heart,sacred-heart,/team/sacred-heart/mens-hockey/,Sacred Heart,3,@,(20) Northeastern,northeastern,/team/northeastern/mens-hockey/,(20) Northeastern,7,,,NC,Game Summary,
2018,Fri.,20171006,10/6/2017,7:00 ET,Michigan,michigan,/team/michigan/mens-hockey/,Michigan,3,@,St. Lawrence,st-lawrence,/team/st-lawrence/mens-hockey/,St. Lawrence,1,,,NC,Game Summary,
2018,Fri.,20171006,10/6/2017,7:07 AT,(7) North Dakota,north-dakota,/team/north-dakota/mens-hockey/,(7) North Dakota,1,@,Alaska Anchorage,alaska-anchorage,/team/alaska-anchorage/mens-hockey/,Alaska Anchorage,1,OT,,NC,Game Summary,
2018,Fri.,20171006,10/6/2017,7:07 AT,(17) Air Force,air-force,/team/air-force/mens-hockey/,(17) Air Force,3,@,Alaska,alaska,/team/alaska/mens-hockey/,Alaska,2,,,NC,Game Summary,
2018,Fri.,20171006,10/6/2017,7:05 ET,Colorado College,colorado-college,/team/colorado-college/mens-hockey/,Colorado College,0,@,Vermont,vermont,/team/vermont/mens-hockey/,Vermont,3,,,NC,Game Summary,
2018,Fri.,20171006,10/6/2017,7:05 ET,Ferris State,ferris-state,/team/ferris-state/mens-hockey/,Ferris State,1,@,(20) Western Michigan,western-michigan,/team/western-michigan/mens-hockey/,(20) Western Michigan,6,,,NC,Game Summary,
2018,Fri.,20171006,10/6/2017,4:07 CT,(16) Union,union,/team/union/mens-hockey/,(16) Union,3,vs.,Michigan Tech,michigan-tech,/team/michigan-tech/mens-hockey/,Michigan Tech,6,,IceBreaker,NC,Game Summary,
2018,Fri.,20171006,10/6/2017,7:37 CT,(3) Minnesota,minnesota,/team/minnesota/mens-hockey/,(3) Minnesota,3,@,(6) Minnesota Duluth,minnesota-duluth,/team/minnesota-duluth/mens-hockey/,(6) Minnesota Duluth,4,OT,IceBreaker,NC,Game Summary,My9
2018,Fri.,20171006,10/6/2017,7:37 ET,US Under-18 Team,,,US Under-18 Team,1,@,Bowling Green,bowling-green,/team/bowling-green/mens-hockey/,Bowling Green,4,,,EX,Game Summary,
2018,Fri.,20171006,10/6/2017,7:35 ET,Ryerson,,,Ryerson,3,@,Canisius,canisius,/team/canisius/mens-hockey/,Canisius,2,,,EX,Game Summary,
2018,Fri.,20171006,10/6/2017,7:07 CT,Nipissing,,,Nipissing,2,@,Omaha,omaha,/team/omaha/mens-hockey/,Omaha,5,,,EX,Game Summary,
2018,Sat.,20171007,10/7/2017,7:05 ET,Army West Point,army,/team/army/mens-hockey/,Army West Point,2,@,American International,american-international,/team/american-international/mens-hockey/,American International,1,,,AH,Game Summary,
2018,Sat.,20171007,10/7/2017,5:07 CT,(19) Ohio State,ohio-state,/team/ohio-state/mens-hockey/,(19) Ohio State,2,@,(12) Wisconsin,wisconsin,/team/wisconsin/mens-hockey/,(12) Wisconsin,3,,,B10,Game Summary,
2018,Sat.,20171007,10/7/2017,4:00 ET,Connecticut,connecticut,/team/connecticut/mens-hockey/,Connecticut,5,@,Maine,maine,/team/maine/mens-hockey/,Maine,1,,,HE,Game Summary,
2018,Sat.,20171007,10/7/2017,7:00 ET,(5) UMass Lowell,umass-lowell,/team/umass-lowell/mens-hockey/,(5) UMass Lowell,1,@,New Hampshire,new-hampshire,/team/new-hampshire/mens-hockey/,New Hampshire,3,,,HE,Game Summary,
2018,Sat.,20171007,10/7/2017,7:05 MT,Massachusetts,massachusetts,/team/massachusetts/mens-hockey/,Massachusetts,4,@,Arizona State,arizona-state,/team/arizona-state/mens-hockey/,Arizona State,2,,,NC,Game Summary,
2018,Sat.,20171007,10/7/2017,7:00 ET,Michigan,michigan,/team/michigan/mens-hockey/,Michigan,0,@,Clarkson,clarkson,/team/clarkson/mens-hockey/,Clarkson,3,,,NC,Game Summary,
2018,Sat.,20171007,10/7/2017,7:30 ET,Merrimack,merrimack,/team/merrimack/mens-hockey/,Merrimack,2,@,Colgate,colgate,/team/colgate/mens-hockey/,Colgate,2,OT,,NC,Game Summary,
2018,Sat.,20171007,10/7/2017,7:07 ET,(20) Western Michigan,western-michigan,/team/western-michigan/mens-hockey/,(20) Western Michigan,2,@,Ferris State,ferris-state,/team/ferris-state/mens-hockey/,Ferris State,3,,,NC,Game Summary,
2018,Sat.,20171007,10/7/2017,7:07 CT,(9) St. Cloud State,st-cloud-state,/team/st-cloud-state/mens-hockey/,(9) St. Cloud State,4,@,(18) Minnesota State,minnesota-state,/team/minnesota-state/mens-hockey/,(18) Minnesota State,0,,,NC,Game Summary,
2018,Sat.,20171007,10/7/2017,8:00 ET,(11) Providence,providence,/team/providence/mens-hockey/,(11) Providence,3,@,Miami,miami,/team/miami/mens-hockey/,Miami,2,,,NC,Game Summary,
2018,Sat.,20171007,10/7/2017,7:05 ET,Alabama Huntsville,alabama-huntsville,/team/alabama-huntsville/mens-hockey/,Alabama Huntsville,0,@,(8) Notre Dame,notre-dame,/team/notre-dame/mens-hockey/,(8) Notre Dame,4,,,NC,Game Summary,NBCChi+
2018,Sat.,20171007,10/7/2017,7:07 ET,Lake Superior,lake-superior,/team/lake-superior/mens-hockey/,Lake Superior,1,@,Northern Michigan,northern-michigan,/team/northern-michigan/mens-hockey/,Northern Michigan,4,,,NC,Game Summary,
2018,Sat.,20171007,10/7/2017,7:00 ET,Sacred Heart,sacred-heart,/team/sacred-heart/mens-hockey/,Sacred Heart,0,@,(20) Northeastern,northeastern,/team/northeastern/mens-hockey/,(20) Northeastern,7,,,NC,Game Summary,
2018,Sat.,20171007,10/7/2017,7:00 ET,(10) Penn State,penn-state,/team/penn-state/mens-hockey/,(10) Penn State,4,@,St. Lawrence,st-lawrence,/team/st-lawrence/mens-hockey/,St. Lawrence,1,,,NC,Game Summary,
2018,Sat.,20171007,10/7/2017,7:07 AT,(7) North Dakota,north-dakota,/team/north-dakota/mens-hockey/,(7) North Dakota,3,@,Alaska Anchorage,alaska-anchorage,/team/alaska-anchorage/mens-hockey/,Alaska Anchorage,2,OT,,NC,Game Summary,
2018,Sat.,20171007,10/7/2017,7:07 AT,(17) Air Force,air-force,/team/air-force/mens-hockey/,(17) Air Force,1,@,Alaska,alaska,/team/alaska/mens-hockey/,Alaska,1,OT,,NC,Game Summary,
2018,Sat.,20171007,10/7/2017,7:05 ET,Colorado College,colorado-college,/team/colorado-college/mens-hockey/,Colorado College,4,@,Vermont,vermont,/team/vermont/mens-hockey/,Vermont,3,,,NC,Game Summary,
2018,Sat.,20171007,10/7/2017,7:37 CT,Michigan Tech,michigan-tech,/team/michigan-tech/mens-hockey/,Michigan Tech,4,@,(6) Minnesota Duluth,minnesota-duluth,/team/minnesota-duluth/mens-hockey/,(6) Minnesota Duluth,3,,IceBreaker,NC,Game Summary,My9
2018,Sat.,20171007,10/7/2017,4:07 CT,(16) Union,union,/team/union/mens-hockey/,(16) Union,0,vs.,(3) Minnesota,minnesota,/team/minnesota/mens-hockey/,(3) Minnesota,2,,IceBreaker,NC,Game Summary,
2018,Sat.,20171007,10/7/2017,7:05 ET,Ryerson,,,Ryerson,7,@,Mercyhurst,mercyhurst,/team/mercyhurst/mens-hockey/,Mercyhurst,6,OT,,EX,Game Summary,
2018,Sat.,20171007,10/7/2017,2:00 ET,Toronto,,,Toronto,0,@,Michigan State,michigan-state,/team/michigan-state/mens-hockey/,Michigan State,3,,,EX,Game Summary,
2018,Sat.,20171007,10/7/2017,7:05 ET,Brock,,,Brock,1,@,RIT,rit,/team/rit/mens-hockey/,RIT,3,,,EX,Game Summary,
2018,Sun.,20171008,10/8/2017,2:00 ET,(2) Boston University,boston-university,/team/boston-university/mens-hockey/,(2) Boston University,3,@,(14) Quinnipiac,quinnipiac,/team/quinnipiac/mens-hockey/,(14) Quinnipiac,2,OT,,NC,Game Summary,
2018,Sun.,20171008,10/8/2017,1:00 ET,Windsor,,,Windsor,1,@,Dartmouth,dartmouth,/team/dartmouth/mens-hockey/,Dartmouth,2,,,EX,Game Summary,
2018,Tue.,20171010,10/10/2017,7:05 ET,American International,american-international,/team/american-international/mens-hockey/,American International,3,@,Bentley,bentley,/team/bentley/mens-hockey/,Bentley,3,OT,,AH,Game Summary,
2018,Tue.,20171010,10/10/2017,7:05 ET,Bowling Green,bowling-green,/team/bowling-green/mens-hockey/,Bowling Green,1,@,Western Michigan,western-michigan,/team/western-michigan/mens-hockey/,Western Michigan,3,,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:35 ET,Robert Morris,robert-morris,/team/robert-morris/mens-hockey/,Robert Morris,4,@,Canisius,canisius,/team/canisius/mens-hockey/,Canisius,3,,,AH,Game Summary,
2018,Fri.,20171013,10/13/2017,7:05 ET,Mercyhurst,mercyhurst,/team/mercyhurst/mens-hockey/,Mercyhurst,1,@,Holy Cross,holy-cross,/team/holy-cross/mens-hockey/,Holy Cross,1,OT,,AH,Game Summary,
2018,Fri.,20171013,10/13/2017,7:07 CT,(11) Penn State,penn-state,/team/penn-state/mens-hockey/,(11) Penn State,3,@,(7) Minnesota,minnesota,/team/minnesota/mens-hockey/,(7) Minnesota,1,,,B10,Game Summary,FSN
2018,Fri.,20171013,10/13/2017,7:07 ET,Northern Michigan,northern-michigan,/team/northern-michigan/mens-hockey/,Northern Michigan,3,@,Ferris State,ferris-state,/team/ferris-state/mens-hockey/,Ferris State,2,,,WC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:37 ET,(15) Michigan Tech,michigan-tech,/team/michigan-tech/mens-hockey/,(15) Michigan Tech,4,@,Lake Superior,lake-superior,/team/lake-superior/mens-hockey/,Lake Superior,3,,,WC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:05 MT,Arizona State,arizona-state,/team/arizona-state/mens-hockey/,Arizona State,3,@,(19) Air Force,air-force,/team/air-force/mens-hockey/,(19) Air Force,4,,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:05 ET,Connecticut,connecticut,/team/connecticut/mens-hockey/,Connecticut,6,@,American International,american-international,/team/american-international/mens-hockey/,American International,4,,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:00 ET,(10) Wisconsin,wisconsin,/team/wisconsin/mens-hockey/,(10) Wisconsin,5,@,(13) Boston College,boston-college,/team/boston-college/mens-hockey/,(13) Boston College,2,,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:37 ET,Michigan State,michigan-state,/team/michigan-state/mens-hockey/,Michigan State,1,@,Bowling Green,bowling-green,/team/bowling-green/mens-hockey/,Bowling Green,4,,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:07 CT,(5) Minnesota Duluth,minnesota-duluth,/team/minnesota-duluth/mens-hockey/,(5) Minnesota Duluth,2,@,Bemidji State,bemidji-state,/team/bemidji-state/mens-hockey/,Bemidji State,5,,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:30 ET,Minnesota State,minnesota-state,/team/minnesota-state/mens-hockey/,Minnesota State,6,@,(2) Boston University,boston-university,/team/boston-university/mens-hockey/,(2) Boston University,3,,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:37 MT,Alaska Anchorage,alaska-anchorage,/team/alaska-anchorage/mens-hockey/,Alaska Anchorage,1,@,Colorado College,colorado-college,/team/colorado-college/mens-hockey/,Colorado College,6,,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:35 ET,(1) Denver,denver,/team/denver/mens-hockey/,(1) Denver,2,@,(4) Notre Dame,notre-dame,/team/notre-dame/mens-hockey/,(4) Notre Dame,2,OT,,NC,Game Summary,NBCSN
2018,Fri.,20171013,10/13/2017,7:05 ET,Rensselaer,rensselaer,/team/rensselaer/mens-hockey/,Rensselaer,1,@,Ohio State,ohio-state,/team/ohio-state/mens-hockey/,Ohio State,1,OT,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:37 CT,Alaska,alaska,/team/alaska/mens-hockey/,Alaska,3,@,(6) St. Cloud State,st-cloud-state,/team/st-cloud-state/mens-hockey/,(6) St. Cloud State,6,,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:00 ET,Massachusetts,massachusetts,/team/massachusetts/mens-hockey/,Massachusetts,5,@,Union,union,/team/union/mens-hockey/,Union,4,,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:15 ET,Omaha,omaha,/team/omaha/mens-hockey/,Omaha,4,@,(12) UMass Lowell,umass-lowell,/team/umass-lowell/mens-hockey/,(12) UMass Lowell,2,,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:37 CT,St. Lawrence,st-lawrence,/team/st-lawrence/mens-hockey/,St. Lawrence,1,@,(8) North Dakota,north-dakota,/team/north-dakota/mens-hockey/,(8) North Dakota,2,,,NC,Game Summary,MidcoSN
2018,Fri.,20171013,10/13/2017,7:00 ET,Colgate,colgate,/team/colgate/mens-hockey/,Colgate,0,@,(20) New Hampshire,new-hampshire,/team/new-hampshire/mens-hockey/,(20) New Hampshire,5,,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:05 ET,(15) Clarkson,clarkson,/team/clarkson/mens-hockey/,(15) Clarkson,2,@,Western Michigan,western-michigan,/team/western-michigan/mens-hockey/,Western Michigan,2,OT,,NC,Game Summary,
2018,Fri.,20171013,10/13/2017,7:05 ET,Miami,miami,/team/miami/mens-hockey/,Miami,7,@,US Under-18 Team,,,US Under-18 Team,5,,,EX,Game Summary,
2018,Fri.,20171013,10/13/2017,7:00 ET,Western Ontario,,,Western Ontario,4,@,Yale,yale,/team/yale/mens-hockey/,Yale,6,,,EX,Game Summary,
2018,Sat.,20171014,10/14/2017,7:35 ET,Robert Morris,robert-morris,/team/robert-morris/mens-hockey/,Robert Morris,1,@,Canisius,canisius,/team/canisius/mens-hockey/,Canisius,4,,,AH,Game Summary,
2018,Sat.,20171014,10/14/2017,7:05 ET,Mercyhurst,mercyhurst,/team/mercyhurst/mens-hockey/,Mercyhurst,4,@,Holy Cross,holy-cross,/team/holy-cross/mens-hockey/,Holy Cross,4,OT,,AH,Game Summary,
2018,Sat.,20171014,10/14/2017,7:07 ET,Northern Michigan,northern-michigan,/team/northern-michigan/mens-hockey/,Northern Michigan,1,@,Ferris State,ferris-state,/team/ferris-state/mens-hockey/,Ferris State,0,,,WC,Game Summary,
2018,Sat.,20171014,10/14/2017,7:07 ET,(15) Michigan Tech,michigan-tech,/team/michigan-tech/mens-hockey/,(15) Michigan Tech,2,@,Lake Superior,lake-superior,/team/lake-superior/mens-hockey/,Lake Superior,2,OT,,WC,Game Summary,
2018,Sat.,20171014,10/14/2017,7:05 MT,Arizona State,arizona-state,/team/arizona-state/mens-hockey/,Arizona State,2,@,(19) Air Force,air-force,/team/air-force/mens-hockey/,(19) Air Force,3,,,NC,Game Summary,
2018,Sat.,20171014,10/14/2017,7:00 ET,Minnesota State,minnesota-state,/team/minnesota-state/mens-hockey/,Minnesota State,3,@,(2) Boston University,boston-university,/team/boston-university/mens-hockey/,(2) Boston University,0,,,NC,Game Summary,
2018,Sat.,20171014,10/14/2017,7:07 MT,Alaska Anchorage,alaska-anchorage,/team/alaska-anchorage/mens-hockey/,Alaska Anchorage,2,@,Colorado College,colorado-college,/team/colorado-college/mens-hockey/,Colorado College,3,,,NC,Game Summary,CET
2018,Sat.,20171014,10/14/2017,7:00 ET,(10) Wisconsin,wisconsin,/team/wisconsin/mens-hockey/,(10) Wisconsin,4,@,Merrimack,merrimack,/team/merrimack/mens-hockey/,Merrimack,1,,,NC,Game Summary,
2018,Sat.,20171014,10/14/2017,7:05 ET,Bowling Green,bowling-green,/team/bowling-green/mens-hockey/,Bowling Green,2,@,Michigan State,michigan-state,/team/michigan-state/mens-hockey/,Michigan State,3,,,NC,Game Summary,
2018,Sat.,20171014,10/14/2017,6:05 ET,(1) Denver,denver,/team/denver/mens-hockey/,(1) Denver,4,@,(4) Notre Dame,notre-dame,/team/notre-dame/mens-hockey/,(4) Notre Dame,2,,,NC,Game Summary,NBCSN
2018,Sat.,20171014,10/14/2017,4:05 ET,Rensselaer,rensselaer,/team/rensselaer/mens-hockey/,Rensselaer,1,@,Ohio State,ohio-state,/team/ohio-state/mens-hockey/,Ohio State,1,OT,,NC,Game Summary,
2018,Sat.,20171014,10/14/2017,4:00 ET,Vermont,vermont,/team/vermont/mens-hockey/,Vermont,2,@,(17) Quinnipiac,quinnipiac,/team/quinnipiac/mens-hockey/,(17) Quinnipiac,3,OT,,NC,Game Summary,
2018,Sat.,20171014,10/14/2017,7:05 ET,(14) Northeastern,northeastern,/team/northeastern/mens-hockey/,(14) Northeastern,3,@,RIT,rit,/team/rit/mens-hockey/,RIT,3,OT,,NC,Game Summary,
2018,Sat.,20171014,10/14/2017,7:07 CT,Alaska,alaska,/team/alaska/mens-hockey/,Alaska,4,@,(6) St. Cloud State,st-cloud-state,/team/st-cloud-state/mens-hockey/,(6) St. Cloud State,5,OT,,NC,Game Summary,FSN+
2018,Sat.,20171014,10/14/2017,7:00 ET,Connecticut,connecticut,/team/connecticut/mens-hockey/,Connecticut,1,@,Sacred Heart,sacred-heart,/team/sacred-heart/mens-hockey/,Sacred Heart,3,,,NC,Game Summary,
2018,Sat.,20171014,10/14/2017,7:00 ET,American International,american-international,/team/american-international/mens-hockey/,American International,1,@,Massachusetts,massachusetts,/team/massachusetts/mens-hockey/,Massachusetts,3,,,NC,Game Summary,
2018,Sat.,20171014,10/14/2017,7:07 CT,Bemidji State,bemidji-state,/team/bemidji-state/mens-hockey/,Bemidji State,0,@,(5) Minnesota Duluth,minnesota-duluth,/team/minnesota-duluth/mens-hockey/,(5) Minnesota Duluth,0,OT,,NC,Game Summary,My9
